OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,1,0,1,0,49
0,DEGREE,1,0,1,0,49
0,PROTECTION,1,0,1,0,49
1,PROXIMITY,5,0,1,0,49
2,PROXIMITY,3,0,1,0,49
3,PROXIMITY,3,0,1,0,49
3,DEGREE,3,0,1,0,49
3,PROTECTION,3,0,1,0,49
4,PROXIMITY,5,0,1,0,49
5,PROXIMITY,1,0,1,0,49
5,DEGREE,1,0,1,0,49
5,PROTECTION,1,0,1,0,49
6,PROXIMITY,3,0,1,0,49
6,PROTECTION,3,0,1,0,49
7,PROXIMITY,7,0,1,0,49
8,PROXIMITY,3,0,1,0,49
9,PROXIMITY,3,0,1,0,49
9,PROTECTION,3,0,1,0,49
10,PROXIMITY,3,0,1,0,49
11,PROXIMITY,1,0,1,0,49
11,DEGREE,1,0,1,0,49
11,PROTECTION,1,0,1,0,49
12,PROXIMITY,5,0,1,0,49
13,PROXIMITY,3,0,1,0,49
13,PROTECTION,3,0,1,0,49
14,PROXIMITY,3,0,1,0,49
14,PROTECTION,3,0,1,0,49
15,PROXIMITY,3,0,1,0,49
16,PROXIMITY,5,0,1,0,49
17,PROXIMITY,5,0,1,0,49
18,PROXIMITY,3,0,1,0,49
19,PROXIMITY,5,0,1,0,49
20,PROXIMITY,3,0,1,0,49
20,PROTECTION,3,0,1,0,49
21,PROXIMITY,3,0,1,0,49
21,PROTECTION,3,0,1,0,49
22,PROXIMITY,3,0,1,0,49
23,PROXIMITY,1,0,1,0,49
23,DEGREE,1,0,1,0,49
23,PROTECTION,1,0,1,0,49
24,PROXIMITY,1,0,1,0,49
24,DEGREE,1,0,1,0,49
24,PROTECTION,1,0,1,0,49
25,PROXIMITY,3,0,1,0,49
25,PROTECTION,3,0,1,0,49
26,PROXIMITY,7,0,1,0,49
27,PROXIMITY,5,0,1,0,49
28,PROXIMITY,5,0,1,0,49
29,PROXIMITY,5,0,1,0,49
30,PROXIMITY,3,0,1,0,49
31,PROXIMITY,1,0,1,0,49
31,DEGREE,1,0,1,0,49
31,PROTECTION,1,0,1,0,49
32,PROXIMITY,1,0,1,0,49
32,DEGREE,1,0,1,0,49
32,PROTECTION,1,0,1,0,49
33,PROXIMITY,1,0,1,0,49
33,DEGREE,1,0,1,0,49
33,PROTECTION,1,0,1,0,49
34,PROXIMITY,1,0,1,0,49
34,DEGREE,1,0,1,0,49
34,PROTECTION,1,0,1,0,49
35,PROXIMITY,3,0,1,0,49
36,PROXIMITY,1,0,1,0,49
36,DEGREE,1,0,1,0,49
36,PROTECTION,1,0,1,0,49
37,PROXIMITY,3,0,1,0,49
38,PROXIMITY,5,0,1,0,49
39,PROXIMITY,3,0,1,0,49
39,DEGREE,3,0,1,0,49
39,PROTECTION,3,0,1,0,49
40,PROXIMITY,3,0,1,0,49
41,PROXIMITY,3,0,1,0,49
42,PROXIMITY,1,0,1,0,49
42,DEGREE,1,0,1,0,49
42,PROTECTION,1,0,1,0,49
43,PROXIMITY,1,0,1,0,49
43,DEGREE,1,0,1,0,49
43,PROTECTION,1,0,1,0,49
44,PROXIMITY,1,0,1,0,49
44,DEGREE,1,0,1,0,49
44,PROTECTION,1,0,1,0,49
45,PROXIMITY,1,0,1,0,49
45,DEGREE,1,0,1,0,49
45,PROTECTION,1,0,1,0,49
46,PROXIMITY,3,0,1,0,49
47,PROXIMITY,7,0,1,0,49
48,PROXIMITY,3,0,1,0,49
48,DEGREE,3,0,1,0,49
48,PROTECTION,3,0,1,0,49
49,PROXIMITY,1,0,1,0,49
49,DEGREE,1,0,1,0,49
49,PROTECTION,1,0,1,0,49

